show_id,country_id
s1,1
s2,2
s5,3
s8,1
s8,4
s8,5
s8,6
s8,7
s8,8
s9,6
s10,1
s13,7
s13,9
s16,1
s18,10
s22,11
s25,3
s26,12
s28,1
s29,1
s30,1
s30,3
s30,13
s33,6
s38,14
s39,15
s39,16
s39,1
s40,3
s41,1
s42,1
s43,1
s44,1
s45,1
s47,2
s47,1
s47,17
s49,1
s50,18
s51,3
s52,17
s53,17
s54,17
s55,17
s56,1
s57,17
s58,17
s59,17
s60,17
s61,17
s62,17
s63,17
s64,17
s66,6
s67,3
s68,1
s70,3
s73,6
s74,18
s77,17
s82,1
s83,1
s85,18
s91,19
s91,1
s92,13
s93,20
s95,6
s95,1
s96,1
s96,6
s97,1
s98,1
s99,6
s100,13
s100,1
s102,1
s105,21
s106,3
s107,1
s108,1
s109,12
s110,19
s112,1
s112,22
s115,3
s116,6
s116,12
s116,13
s117,3
s118,6
s118,1
s119,3
s121,12
s123,6
s123,12
s123,13
s123,1
s125,21
s126,1
s127,3
s128,1
s128,16
s130,7
s130,1
s132,1
s134,2
s134,1
s135,1
s135,10
s136,1
s136,23
s136,13
s136,17
s137,1
s137,23
s137,24
s137,6
s138,12
s138,1
s139,1
s140,1
s141,25
s141,26
s142,1
s142,6
s142,16
s143,7
s143,1
s144,1
s145,1
s146,1
s147,1
s150,1
s151,1
s152,15
s152,27
s153,1
s154,28
s155,17
s156,6
s156,1
s157,1
s158,16
s159,1
s160,27
s161,1
s162,1
s163,1
s163,15
s163,27
s164,1
s165,1
s167,23
s167,1
s168,1
s168,16
s169,1
s170,1
s171,1
s172,1
s173,1
s173,7
s174,1
s175,1
s176,1
s177,1
s178,6
s178,1
s179,1
s180,1
s183,1
s184,1
s185,1
s189,13
s191,3
s192,6
s192,16
s192,1
s193,3
s194,29
s194,21
s196,3
s199,18
s200,3
s201,3
s202,3
s203,3
s204,3
s205,3
s206,3
s207,3
s208,3
s209,3
s210,3
s211,3
s212,3
s213,30
s216,3
s217,3
s218,3
s220,17
s221,1
s228,1
s229,1
s229,6
s230,1
s232,1
s233,1
s234,6
s242,1
s248,1
s252,1
s254,3
s255,1
s260,3
s260,31
s264,1
s265,1
s266,17
s267,3
s268,32
s268,12
s268,13
s268,1
s270,23
s271,23
s271,33
s271,34
s272,1
s273,1
