show_id,genre_id
s1,1
s2,2
s2,3
s2,4
s3,5
s3,2
s3,6
s4,7
s4,8
s5,2
s5,9
s5,10
s6,3
s6,11
s6,4
s7,12
s8,13
s8,14
s8,15
s9,16
s9,8
s10,17
s10,13
s11,5
s11,7
s11,2
s12,5
s12,2
s12,6
s13,13
s13,15
s14,12
s14,17
s15,16
s15,5
s15,7
s16,10
s16,3
s17,1
s17,15
s18,5
s18,18
s18,3
s19,19
s20,2
s20,18
s20,6
s21,5
s21,7
s21,2
s22,2
s22,6
s22,3
s23,17
s23,15
s24,12
s25,17
s25,15
s25,20
s26,7
s26,2
s26,8
s27,17
s27,15
s27,21
s28,17
s29,22
s29,23
s30,19
s31,13
s31,14
s31,15
s32,10
s33,16
s33,2
s33,10
s34,2
s34,3
s34,24
s35,25
s36,13
s36,15
s36,19
s37,26
s37,13
s37,15
s38,25
s38,10
s39,26
s39,13
s40,25
s41,25
s41,27
s42,26
s42,28
s42,13
s43,13
s43,22
s43,19
s44,26
s44,22
s44,19
s45,26
s45,22
s45,19
s46,1
s47,26
s48,2
s48,9
s48,10
s49,13
s49,19
s50,2
s50,3
s51,2
s51,3
s51,27
s52,26
s52,29
s52,15
s53,26
s53,29
s53,15
s54,26
s54,29
s54,15
s55,26
s55,29
s55,15
s56,8
s57,26
s57,29
s57,15
s58,26
s58,29
s58,15
s59,26
s59,29
s59,15
s60,26
s60,29
s60,15
s61,26
s61,29
s61,15
s62,26
s62,29
s62,15
s63,26
s63,29
s63,15
s64,26
s64,29
s64,15
s65,12
s66,25
s67,7
s67,2
s68,25
s68,10
s69,1
s69,15
s69,30
s70,2
s70,3
s71,2
s71,8
s71,9
s72,12
s73,16
s73,7
s73,2
s74,13
s74,15
s75,8
s76,12
s77,31
s77,2
s78,12
s78,17
s79,17
s79,13
s79,15
s80,17
s80,13
s80,15
s81,12
s82,26
s83,5
s83,10
s83,3
s84,8
s85,26
s85,17
s85,13
s86,31
s86,25
s87,15
s87,19
s88,25
s88,32
s89,1
s89,30
s90,25
s91,23
s91,19
s92,1
s92,15
s93,2
s93,3
s93,4
s94,13
s94,15
s94,20
s95,12
s95,17
s96,8
s97,1
s97,21
s98,25
s98,10
s98,27
s99,16
s99,25
s100,10
s100,3
s101,25
s102,1
s102,30
s103,7
s103,33
