InvoiceNo,InvoiceDate,CustomerID
536365,12/1/2010 8:26,17850
536366,12/1/2010 8:28,17850
536367,12/1/2010 8:34,13047
536368,12/1/2010 8:34,13047
536369,12/1/2010 8:35,13047
536370,12/1/2010 8:45,12583
536371,12/1/2010 9:00,13748
536372,12/1/2010 9:01,17850
536373,12/1/2010 9:02,17850
536374,12/1/2010 9:09,15100
536375,12/1/2010 9:32,17850
536376,12/1/2010 9:32,15291
536377,12/1/2010 9:34,17850
536378,12/1/2010 9:37,14688
536380,12/1/2010 9:41,17809
536381,12/1/2010 9:41,15311
C536379,12/1/2010 9:41,14527
536382,12/1/2010 9:45,16098
C536383,12/1/2010 9:49,15311
536384,12/1/2010 9:53,18074
536385,12/1/2010 9:56,17420
536386,12/1/2010 9:57,16029
536387,12/1/2010 9:58,16029
536388,12/1/2010 9:59,16250
536389,12/1/2010 10:03,12431
536390,12/1/2010 10:19,17511
C536391,12/1/2010 10:24,17548
536392,12/1/2010 10:29,13705
536393,12/1/2010 10:37,13747
536394,12/1/2010 10:39,13408
536395,12/1/2010 10:47,13767
536396,12/1/2010 10:51,17850
536397,12/1/2010 10:51,17924
536398,12/1/2010 10:52,13448
536399,12/1/2010 10:52,17850
536400,12/1/2010 10:53,13448
536401,12/1/2010 11:21,15862
536402,12/1/2010 11:22,15513
536403,12/1/2010 11:27,12791
536404,12/1/2010 11:29,16218
536405,12/1/2010 11:32,14045
536406,12/1/2010 11:33,17850
536407,12/1/2010 11:34,17850
536408,12/1/2010 11:41,14307
536409,12/1/2010 11:45,17908
536412,12/1/2010 11:49,17920
536414,12/1/2010 11:52,99999
536415,12/1/2010 11:57,12838
536416,12/1/2010 11:58,13255
536420,12/1/2010 12:03,16583
536423,12/1/2010 12:08,18085
536425,12/1/2010 12:08,13758
536437,12/1/2010 12:12,13694
536446,12/1/2010 12:15,15983
536460,12/1/2010 12:22,14849
536463,12/1/2010 12:22,14849
536464,12/1/2010 12:23,17968
536466,12/1/2010 12:23,14849
536477,12/1/2010 12:27,16210
536488,12/1/2010 12:31,17897
536500,12/1/2010 12:35,17377
536502,12/1/2010 12:36,16552
536508,12/1/2010 12:38,17181
C536506,12/1/2010 12:38,17897
536514,12/1/2010 12:40,17951
536520,12/1/2010 12:43,14729
536521,12/1/2010 12:48,12748
536522,12/1/2010 12:49,15012
536523,12/1/2010 12:50,12868
536524,12/1/2010 12:51,17572
536525,12/1/2010 12:54,14078
536526,12/1/2010 12:58,14001
536527,12/1/2010 13:04,12662
536528,12/1/2010 13:17,15525
536529,12/1/2010 13:20,14237
536530,12/1/2010 13:21,17905
536531,12/1/2010 13:23,15485
536532,12/1/2010 13:24,12433
536533,12/1/2010 13:31,16955
536534,12/1/2010 13:33,15350
536535,12/1/2010 13:38,15605
536536,12/1/2010 13:45,18144
536537,12/1/2010 13:51,15922
536538,12/1/2010 13:54,14594
536539,12/1/2010 14:03,15165
536540,12/1/2010 14:05,14911
536541,12/1/2010 14:05,14911
536542,12/1/2010 14:11,16456
C536543,12/1/2010 14:30,17841
536544,12/1/2010 14:32,99999
536545,12/1/2010 14:32,99999
536546,12/1/2010 14:33,99999
536547,12/1/2010 14:33,99999
C536548,12/1/2010 14:33,12472
536549,12/1/2010 14:34,99999
536550,12/1/2010 14:34,99999
536551,12/1/2010 14:34,17346
536552,12/1/2010 14:34,99999
536553,12/1/2010 14:35,99999
536554,12/1/2010 14:35,99999
536555,12/1/2010 14:37,99999
536556,12/1/2010 14:38,17643
536557,12/1/2010 14:41,17841
536558,12/1/2010 14:48,99999
536559,12/1/2010 14:54,17873
536560,12/1/2010 15:00,13093
536561,12/1/2010 15:06,12921
536562,12/1/2010 15:08,13468
536563,12/1/2010 15:08,17760
536564,12/1/2010 15:08,13468
536565,12/1/2010 15:15,99999
536566,12/1/2010 15:21,16928
536567,12/1/2010 15:27,16048
536568,12/1/2010 15:28,16048
536569,12/1/2010 15:35,16274
536570,12/1/2010 15:35,14496
536571,12/1/2010 15:37,14696
536572,12/1/2010 15:40,16539
536573,12/1/2010 15:45,17025
536574,12/1/2010 15:46,17025
536575,12/1/2010 16:01,13777
536576,12/1/2010 16:11,13777
536577,12/1/2010 16:13,13777
536578,12/1/2010 16:15,17690
536579,12/1/2010 16:16,13777
536580,12/1/2010 16:17,17690
536581,12/1/2010 16:19,13777
536582,12/1/2010 16:21,12947
536583,12/1/2010 16:21,13777
536584,12/1/2010 16:22,13777
536585,12/1/2010 16:24,17460
536586,12/1/2010 16:25,18229
536587,12/1/2010 16:33,14142
536588,12/1/2010 16:49,17069
536589,12/1/2010 16:50,99999
536590,12/1/2010 16:52,13065
536591,12/1/2010 16:57,14606
536592,12/1/2010 17:06,99999
536593,12/1/2010 17:15,16835
536594,12/1/2010 17:22,15235
536595,12/1/2010 17:24,13576
536596,12/1/2010 17:29,99999
536597,12/1/2010 17:35,18011
536598,12/2/2010 7:48,13090
536599,12/2/2010 7:49,15694
536600,12/2/2010 8:32,17850
536601,12/2/2010 8:33,17850
536602,12/2/2010 8:34,17850
536603,12/2/2010 8:40,17850
536604,12/2/2010 8:43,14741
536605,12/2/2010 8:52,13715
C536606,12/2/2010 9:10,14092
536607,12/2/2010 9:29,17732
536608,12/2/2010 9:37,12855
536609,12/2/2010 9:41,17850
536610,12/2/2010 9:42,17850
536611,12/2/2010 9:43,15752
536612,12/2/2010 9:44,17850
536613,12/2/2010 9:44,17855
536614,12/2/2010 9:44,17850
536615,12/2/2010 10:09,14047
536616,12/2/2010 10:10,17925
536617,12/2/2010 10:17,13941
536618,12/2/2010 10:17,17017
536619,12/2/2010 10:18,17017
536620,12/2/2010 10:27,14135
536621,12/2/2010 10:35,13108
C536622,12/2/2010 10:37,12471
536623,12/2/2010 10:39,15601
536624,12/2/2010 10:45,13418
536626,12/2/2010 10:46,13418
C536625,12/2/2010 10:46,14766
536627,12/2/2010 10:53,15658
536628,12/2/2010 10:54,17850
536629,12/2/2010 10:55,17850
536630,12/2/2010 10:56,17850
536631,12/2/2010 10:58,17850
536632,12/2/2010 11:02,14388
536633,12/2/2010 11:20,14901
536634,12/2/2010 11:21,18041
536635,12/2/2010 11:22,15955
536636,12/2/2010 11:23,15070
536637,12/2/2010 11:35,18041
536638,12/2/2010 11:41,16244
536639,12/2/2010 11:45,15111
536640,12/2/2010 11:45,99999
536641,12/2/2010 11:46,12748
C536642,12/2/2010 11:56,14390
536643,12/2/2010 11:57,14390
536663,12/2/2010 12:07,16546
536667,12/2/2010 12:09,15260
536670,12/2/2010 12:09,15260
536671,12/2/2010 12:10,13305
536672,12/2/2010 12:10,14491
536673,12/2/2010 12:11,14060
536674,12/2/2010 12:16,15923
536676,12/2/2010 12:18,16752
536681,12/2/2010 12:22,17287
536685,12/2/2010 12:23,17850
536688,12/2/2010 12:24,17850
536690,12/2/2010 12:25,17850
536693,12/2/2010 12:26,17850
536698,12/2/2010 12:28,15363
536707,12/2/2010 12:33,12915
536732,12/2/2010 12:47,15544
536733,12/2/2010 12:50,15738
C536734,12/2/2010 12:50,16042
536735,12/2/2010 12:58,17381
536736,12/2/2010 12:59,17381
C536737,12/2/2010 13:05,15922
536738,12/2/2010 13:06,15827
536739,12/2/2010 13:08,14180
536740,12/2/2010 13:08,15827
536741,12/2/2010 13:11,13117
536742,12/2/2010 13:14,16916
536743,12/2/2010 13:32,17964
536744,12/2/2010 13:36,14466
536745,12/2/2010 13:38,17235
536746,12/2/2010 13:39,16510
536747,12/2/2010 13:44,17802
536748,12/2/2010 13:45,15107
536749,12/2/2010 13:49,17976
536750,12/2/2010 14:04,17850
536751,12/2/2010 14:05,17850
536752,12/2/2010 14:06,17850
536753,12/2/2010 14:07,17850
536754,12/2/2010 14:09,14449
536755,12/2/2010 14:14,99999
536756,12/2/2010 14:23,99999
C536757,12/2/2010 14:23,15838
C536758,12/2/2010 14:25,13767
536759,12/2/2010 14:26,16781
C536760,12/2/2010 14:29,17547
536761,12/2/2010 14:30,13491
536762,12/2/2010 14:40,16186
536763,12/2/2010 14:42,17685
536764,12/2/2010 14:42,99999
536765,12/2/2010 14:43,99999
536769,12/2/2010 14:47,17581
536771,12/2/2010 14:49,17581
536777,12/2/2010 15:00,15732
536778,12/2/2010 15:03,13138
536779,12/2/2010 15:08,15823
536780,12/2/2010 15:09,99999
536781,12/2/2010 15:14,17460
536782,12/2/2010 15:18,17567
536783,12/2/2010 15:19,15061
536784,12/2/2010 15:20,15061
536785,12/2/2010 15:22,15061
536786,12/2/2010 15:23,15061
536787,12/2/2010 15:24,17850
536788,12/2/2010 15:25,15061
536789,12/2/2010 15:25,17850
536790,12/2/2010 15:26,17850
536791,12/2/2010 15:27,17850
536792,12/2/2010 15:28,15061
536793,12/2/2010 15:39,16203
536794,12/2/2010 15:40,13767
536795,12/2/2010 15:40,15640
536796,12/2/2010 15:46,15574
536797,12/2/2010 15:49,16770
536798,12/2/2010 15:55,17838
536799,12/2/2010 16:00,17228
536800,12/2/2010 16:12,14829
536801,12/2/2010 16:12,99999
536802,12/2/2010 16:29,17412
536803,12/2/2010 16:33,14911
536804,12/2/2010 16:34,14031
536805,12/2/2010 16:38,14775
536806,12/2/2010 16:42,12971
C536807,12/2/2010 16:45,15834
536808,12/2/2010 16:46,17659
536809,12/2/2010 16:48,15299
536810,12/2/2010 16:50,15299
536811,12/2/2010 16:51,15299
C536812,12/2/2010 16:58,16546
536813,12/2/2010 16:59,15646
