icu_id,hospital_id,icu_type
92,118,CTICU
90,81,Med-Surg ICU
93,118,Med-Surg ICU
91,33,Med-Surg ICU
95,83,Med-Surg ICU
114,118,CCU-CTICU
113,77,Med-Surg ICU
102,118,Neuro ICU
97,118,MICU
100,118,Neuro ICU
87,77,Med-Surg ICU
99,118,Med-Surg ICU
103,149,SICU
83,31,Med-Surg ICU
85,118,SICU
109,151,Med-Surg ICU
82,69,Med-Surg ICU
98,46,Med-Surg ICU
89,118,Neuro ICU
108,63,Med-Surg ICU
120,113,Med-Surg ICU
143,137,Med-Surg ICU
133,89,Med-Surg ICU
136,168,Med-Surg ICU
160,150,Med-Surg ICU
126,140,Med-Surg ICU
170,34,Med-Surg ICU
144,74,Med-Surg ICU
123,102,Med-Surg ICU
171,91,Med-Surg ICU
125,198,Med-Surg ICU
135,129,Med-Surg ICU
153,4,Med-Surg ICU
158,124,Med-Surg ICU
134,68,Med-Surg ICU
251,138,Med-Surg ICU
212,174,Cardiac ICU
185,138,CCU-CTICU
174,134,Med-Surg ICU
236,174,Med-Surg ICU
252,169,Med-Surg ICU
181,174,CTICU
176,57,Med-Surg ICU
248,177,Med-Surg ICU
227,155,Med-Surg ICU
195,85,Med-Surg ICU
187,78,Med-Surg ICU
230,95,Med-Surg ICU
242,78,Med-Surg ICU
241,169,Med-Surg ICU
267,98,Med-Surg ICU
259,105,Med-Surg ICU
290,76,Med-Surg ICU
273,76,Neuro ICU
261,5,Med-Surg ICU
307,116,Med-Surg ICU
285,76,CTICU
286,116,Cardiac ICU
256,76,Med-Surg ICU
302,76,Med-Surg ICU
417,119,Med-Surg ICU
337,79,Med-Surg ICU
404,171,CSICU
408,161,CSICU
377,128,Med-Surg ICU
394,147,Med-Surg ICU
347,112,MICU
369,32,Med-Surg ICU
376,55,Med-Surg ICU
362,17,Med-Surg ICU
374,136,Med-Surg ICU
413,161,Med-Surg ICU
384,112,CSICU
391,55,CSICU
317,147,Med-Surg ICU
324,161,Neuro ICU
402,79,CSICU
388,44,Med-Surg ICU
335,128,Med-Surg ICU
386,128,Med-Surg ICU
364,128,Med-Surg ICU
321,179,Med-Surg ICU
366,79,Med-Surg ICU
312,55,Med-Surg ICU
400,88,Med-Surg ICU
398,23,MICU
365,130,Med-Surg ICU
338,112,Med-Surg ICU
389,72,Med-Surg ICU
429,109,Cardiac ICU
428,10,Med-Surg ICU
426,204,Neuro ICU
430,204,Med-Surg ICU
424,117,Med-Surg ICU
427,202,Med-Surg ICU
431,204,CSICU
